"name","essround","edition","proddate","idno","cntry","dweight","pweight","freehms","lrnobed","impcntr","atchctr","atcherp","wrclmch","gndr","agea","prob","stratum","psu"
"ESS11e01",11,"1.0","20.06.2024",59387,"NL",1.0559736,0.8899064,1,4,2,7,8,4,2,22,0.00031989577,730,8131
"ESS11e01",11,"1.0","20.06.2024",59427,"NL",1.0196493,0.8899064,1,1,2,5,5,4,2,72,0.00033129187,753,8098
"ESS11e01",11,"1.0","20.06.2024",59476,"NL",1.0238738,0.8899064,1,5,2,10,7,4,2,71,0.00032992495,751,9200
"ESS11e01",11,"1.0","20.06.2024",59480,"NL",1.051896,0.8899064,1,1,1,4,4,3,1,24,0.00032113586,733,8147
"ESS11e01",11,"1.0","20.06.2024",59496,"NL",0.9937498,0.8899064,1,3,2,5,5,3,2,23,0.00033992613,728,9392
"ESS11e01",11,"1.0","20.06.2024",59529,"NL",0.9874631,0.8899064,1,5,1,8,8,4,2,50,0.00034209026,741,8990
"ESS11e01",11,"1.0","20.06.2024",59531,"NL",0.9384855,0.8899064,1,2,4,2,0,1,2,47,0.00035994325,745,8965
"ESS11e01",11,"1.0","20.06.2024",59539,"NL",0.9895682,0.8899064,2,2,3,8,5,3,1,63,0.00034136255,721,9651
"ESS11e01",11,"1.0","20.06.2024",59545,"NL",1.0422887,0.8899064,1,1,2,8,6,3,2,51,0.00032409595,742,9334
"ESS11e01",11,"1.0","20.06.2024",59550,"NL",1.0318297,0.8899064,2,2,1,9,5,3,2,41,0.00032738107,739,9028
"ESS11e01",11,"1.0","20.06.2024",59558,"NL",0.926864,0.8899064,1,2,1,7,7,4,2,60,0.00036445638,747,9412
"ESS11e01",11,"1.0","20.06.2024",59612,"NL",1.0085934,0.8899064,1,3,2,8,7,3,2,35,0.0003349234,732,8604
"ESS11e01",11,"1.0","20.06.2024",59630,"NL",0.92712563,0.8899064,1,2,4,8,7,4,2,60,0.00036435356,746,8657
"ESS11e01",11,"1.0","20.06.2024",59635,"NL",1.0035002,0.8899064,1,3,2,8,7,4,1,38,0.00033662328,714,8421
"ESS11e01",11,"1.0","20.06.2024",59644,"NL",0.9873727,0.8899064,1,1,2,6,4,3,1,66,0.00034212158,724,9258
"ESS11e01",11,"1.0","20.06.2024",59659,"NL",1.0035002,0.8899064,1,3,1,6,6,3,1,40,0.00033662328,714,9253
"ESS11e01",11,"1.0","20.06.2024",59714,"NL",1.0318297,0.8899064,1,1,4,5,5,3,2,45,0.00032738107,739,8797
"ESS11e01",11,"1.0","20.06.2024",59781,"NL",0.9528661,0.8899064,1,2,2,10,8,5,1,52,0.00035451102,717,8832
